target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,advanced,,32250,0,0,0,8.2455197133,48.75440527,3.0191780822,0,0,3.7534246575,272
0,OTHER,elementary,,60000,0,0,0,62.697827061,34.709589041,2.6630136986,,,6.0410958904,273
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,283
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,284
0,2NDFL,elementary,,43447,0,0,,,29.756164384,1.1459690097,,,9.5561643836,293
0,OTHER,elementary,Corporate,55371,0,1,1,0.570766129,25.390620555,0.6700726102,0,0,5.3577438431,294
0,OTHER,advanced,Corporate,22482,0,1,0,15.310909498,41.985867206,7.4180327869,0,0,1.2954562467,296
0,OTHER,elementary,,160000,0,0,0,0.9296146953,30.463013699,0.7175761659,1,1,9.5727674227,297
0,OTHER,elementary,Corporate,18328,0,1,0,,31.133243506,0.8565311775,0,0,9.9770791227,329
0,OTHER,advanced,Corporate,62389,0,0,1,0.28125,48.235616438,7.6328767123,1,3,3.2,331
0,OTHER,advanced,Corporate,15461,0,1,1,1.9888664875,28.535983232,1.7003667939,0,0,4.6455722734,337
0,2NDFL,elementary,Corporate,77608,0,0,1,0.4450268817,30.624657534,0.705224942,1,1,10.189041096,350
0,OTHER,advanced,Corporate,16704,0,1,0,24.570564516,47.302253163,3.7677595628,0,0,2.2091024777,357
0,OTHER,elementary,Corporate,26387,0,1,1,2.0850806452,40.163934426,0.3114754098,0,0,13.434081892,359
0,OTHER,elementary,Corporate,201278,0,1,1,0.317405914,45.868493151,4.0246575342,1,1,0.8427951194,363
0,OTHER,elementary,,100000,0,0,1,0.5659498208,38.019178082,6.2767123288,0,0,6.3232876712,370
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,374
0,2NDFL,advanced,,30569,0,0,2,0.8203405018,38.583561644,16.631731417,0,0,11.271232877,375
0,2NDFL,elementary,,88617,0,0,0,0.6008960573,38.455835018,3.2065199491,0,0,10.576382963,378
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,OTHER,elementary,Corporate,72981,0,1,0,21.173767921,35.909589041,9.4657534247,1,1,7.7780821918,390
0,OTHER,elementary,Corporate,50569,0,1,1,0.7632168459,26.602986751,0.412568306,0,0,4.1994535519,396
0,OTHER,elementary,Corporate,161095,0,0,0,95.635035842,52.886990044,2.7232876712,1,1,7.7643835616,401
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,beginner,Corporate,194097,0,1,0,0.9934587814,28.038251366,4.0054644809,0,0,4.1557377049,412
0,OTHER,elementary,Corporate,30631,0,1,1,1.1769489247,41.061000075,1.4582603488,0,0,0.5109289617,422
0,2NDFL,high,,31926,0,0,0,11.341845878,33.545205479,2.0849315068,2,2,3.7561643836,423
0,2NDFL,beginner,,87000,0,0,0,14.597603047,38.970252264,14.989430347,1,1,9.6113481548,428
0,OTHER,advanced,Corporate,14199,0,1,0,6.7000448029,40.521940265,6.719200539,0,0,9.927419717,431
0,OTHER,advanced,Corporate,22151,0,1,,,35.008219178,5.9479452055,,,4.3199790403,432
0,OTHER,elementary,Corporate,48092,0,1,,,43.665753425,1.2443296654,,,10.405479452,434
0,OTHER,elementary,Corporate,21108,0,1,1,1.3079749104,46.350250767,7.1584699454,0,0,1.2653192604,435
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,439
0,2NDFL,high,,39672,0,0,1,1.0867159498,38.381705217,13.362527135,0,0,5.039239464,449
0,OTHER,advanced,Corporate,22849,0,1,1,1.1833781362,33.725226439,4.8265963021,0,0,10.155363425,450
0,OTHER,elementary,Corporate,60243,0,1,,,25.10830152,0.8869900442,,,5.0263343065,455
0,OTHER,advanced,Corporate,33072,0,1,1,0.6307123656,46.463013699,14.465753425,1,1,1.386518452,466
0,OTHER,advanced,Corporate,31145,0,1,,,31.180821918,0.6377722883,,,5.9589041096,469
0,OTHER,advanced,Corporate,19960,0,1,0,,54.60894528,1.4610000749,,,6.4527808968,470
0,2NDFL,elementary,,43761,0,0,0,0.7270609319,26.389767198,1.4610000749,0,0,6.0363425406,472
0,OTHER,high,Corporate,39126,0,1,0,4.9887544803,38.941118347,10.009611498,0,0,11.540983607,474
0,OTHER,beginner,,19000,0,0,,,31.912568306,7.0642188787,,,9.6779175088,478
0,OTHER,elementary,Corporate,187238,0,1,,,31.868493151,4.6760236545,,,11.8,482
0,OTHER,beginner,Corporate,53382,0,1,0,56.145116487,51.520547945,1.5184070664,1,1,5.8082191781,486
0,OTHER,elementary,,20000,0,0,1,1.2475582437,35.56284153,2.3989969309,0,0,2.7715996706,491
0,2NDFL,elementary,,59260,0,0,1,1.1851030466,37.379474512,2.4918032787,0,1,11.846994536,495
0,OTHER,elementary,,100000,0,0,0,0.9568324373,32.841821993,4.9020959653,1,1,11.288397335,496
0,OTHER,elementary,,34800,0,0,0,0.8605062724,30.804678494,0.7635826035,0,0,10.053993562,497
0,OTHER,elementary,,50000,0,0,0,,53.244876113,3.8606557377,,,8.0983606557,500
0,OTHER,elementary,,45000,0,0,1,0.3455869176,29.911325698,7.1798188487,0,0,6.705846246,504
0,OTHER,elementary,Corporate,22023,0,1,,,35.720547945,6.3863013699,,,10.821917808,507
0,OTHER,elementary,Corporate,42184,0,1,0,0.863015233,27.023856576,2.2074182199,0,0,6.8430346583,514
0,OTHER,elementary,Corporate,95089,0,1,0,,38.393517479,7.6994535519,0,1,9.5907777528,519
0,OTHER,elementary,Corporate,167916,0,1,1,0.4400537634,31.628415301,1.3244928513,0,0,9.9628490156,528
0,2NDFL,advanced,,38602,0,0,0,0.5439964158,36.9707014,6.9232876712,1,1,11.884931507,532
0,OTHER,elementary,Corporate,21982,0,1,0,4.6659722222,43.219267909,0.6721311475,0,0,3.7343364024,537
0,OTHER,elementary,,110000,0,0,2,0.2778001792,33.980821918,2.8301369863,0,0,5.2328767123,540
0,OTHER,elementary,VIP,190090,0,1,2,0.8859543011,32.081967213,2.2833969609,0,0,11.017643536,545
0,OTHER,advanced,Corporate,20428,0,1,0,,39.320937196,0.693989071,0,0,11.260663223,546
0,2NDFL,elementary,,20950,0,0,0,5.5660170251,26.656733288,0.3772812336,0,0,6.4813908227,547
0,OTHER,advanced,Corporate,14568,0,1,,,27.611048731,0.2950819672,,,4.4617486339,552
0,OTHER,advanced,Corporate,47557,0,1,,,52.532786885,0.5765027322,,,7.4031289767,554
0,2NDFL,advanced,,14740,0,0,,,47.967123288,0.4354143274,,,2.9424657534,559
0,OTHER,advanced,Corporate,28178,0,1,,,25.587880829,0.8015794595,,,5.5358260349,564
0,OTHER,beginner,,293500,0,0,1,1.5377240143,41.556890486,3.2390822666,0,0,11.36784939,568
0,OTHER,advanced,Corporate,26806,0,1,,,28.407410734,0.6150610076,,,4.5003069092,569
0,OTHER,advanced,Corporate,25930,0,1,,,31.68579235,1.7080544951,,,9.8779175088,571
0,OTHER,elementary,Corporate,54193,0,1,,,37.292349727,6.4896100007,,,13.108788083,579
0,OTHER,advanced,,26282,0,0,0,1.6927643369,39.718579235,6.8750056142,,,10.151717943,589
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,OTHER,elementary,Corporate,185331,0,1,,,45.742465753,4.8180028445,,,0.6759263418,608
0,2NDFL,elementary,,116433,0,0,1,1.1463933692,29.928332959,3.4098360656,1,1,9.3831274796,609
0,OTHER,elementary,Corporate,119970,0,1,,,37.736986301,0.7551613145,,,2.5095890411,611
0,OTHER,advanced,,82000,0,0,1,0.7552419355,47.564383562,3.498630137,1,1,2.5479452055,613
0,OTHER,advanced,Corporate,102312,0,1,0,,33.00303915,1.2630136986,0,0,11.106849315,622
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,645
0,2NDFL,elementary,Corporate,53135,0,0,0,0.4085573477,31.154307957,3.5871846695,0,0,3.2995134366,648
0,OTHER,high,Corporate,54138,0,1,0,10.606003584,26.780582379,0.5038700502,1,1,6.4655138858,655
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,663
0,OTHER,elementary,Corporate,73524,0,1,1,2.1149641577,31.379781421,4.4212740475,0,0,5.8267534995,664
0,2NDFL,elementary,,99443,0,0,1,0.984453405,35.797814208,3.2829178831,0,0,9.6582603488,671
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,672
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,674
0,2NDFL,elementary,,67304,0,0,,,32.793412681,2.1726027397,,,10.504109589,676
0,2NDFL,beginner,Corporate,34473,0,1,0,,32.596257205,3.2811887117,,,9.1551613145,677
0,OTHER,elementary,Corporate,60000,0,1,,,27.010958904,2.6410958904,,,6.9232876712,680
0,OTHER,advanced,Corporate,35074,0,1,2,1.0839157706,32.858230406,0.855498166,0,0,4.9320008983,681
0,OTHER,elementary,,55000,0,0,1,0.6936155914,44.809424358,19.546410659,0,0,9.7327120293,685
0,OTHER,advanced,Corporate,40884,0,1,0,0.247983871,44.940324875,0.9949696834,0,0,10.652054795,688
0,OTHER,elementary,Corporate,68430,0,1,,,31.276712329,0.9785762407,,,2.104109589,689
0,OTHER,advanced,,40000,0,0,0,3.4339829749,29.917164458,1.5226439105,0,0,7.4945355191,690
0,OTHER,elementary,,80040,0,0,,,48.396481773,1.0276293136,,,3.3616438356,691
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,elementary,Corporate,37727,0,1,0,81.373297491,37.17380792,4.5,0,0,11.302575043,707
0,OTHER,elementary,Corporate,49299,0,1,0,1.3137768817,31.389767198,2.376068568,0,0,11.039082267,714
0,OTHER,elementary,Corporate,86493,0,1,,,43.745205479,4.1643835616,,,13.698630137,717
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,advanced,Corporate,30335,0,1,,,32.150273224,0.7356314095,,,2.2452204506,724
0,OTHER,elementary,,191400,0,0,0,1.4105062724,41.373486039,1.0118422038,2,2,8.0409836066,725
0,OTHER,elementary,Corporate,73267,0,1,1,0.9224462366,30.879452055,8.3780821918,1,1,9.2719664646,733
0,2NDFL,elementary,,23669,0,1,1,1.1190188172,34.987341867,7.7759562842,0,0,9.696930908,735
0,OTHER,elementary,,45000,0,0,1,0.6987903226,27.542465753,1.8301369863,0,0,7.4356164384,736
0,OTHER,elementary,Corporate,63687,0,1,,,26.509589041,3.4849315068,,,6.2602739726,741
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,745
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,746
0,OTHER,elementary,Corporate,100839,0,1,,,37.839935624,5.144045213,,,9.1221274047,753
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,759
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,760
0,OTHER,elementary,,18000,0,0,0,3.439359319,43.09524665,3.1500411707,0,0,9.6157945954,763
0,2NDFL,advanced,,30145,0,0,0,2.8276657706,40.06557377,2.8408563515,0,0,6.3668837488,768
0,OTHER,high,Corporate,36348,0,1,,,31.736986301,0.3260273973,,,5.8465753425,775
0,OTHER,elementary,Corporate,50120,0,1,,,43.671232877,0.6705591736,,,5.8876712329,784
0,2NDFL,elementary,,118365,0,0,0,,38.739726027,13.493150685,1,1,11.473972603,793
0,2NDFL,advanced,,15049,0,1,,,30.07007261,4.1666666667,,,7.5792349727,797
0,OTHER,elementary,,400000,0,0,1,0.4678091398,41.41490381,1.3053147691,0,0,8.60120518,799
0,2NDFL,advanced,,81637,0,0,0,0.4358198925,45.218534321,1.4596302118,2,2,0.1338797814,804
0,OTHER,elementary,Corporate,47855,0,1,0,1.1477822581,25.645220451,0.5575492178,0,0,2.9274122315,805
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,809
0,2NDFL,elementary,,,0,1,1,0.9226030466,29.424859645,0.586061831,1,1,0.7090126506,827
0,OTHER,elementary,,25000,0,0,2,1.6290546595,53.55890411,24.718743918,0,0,3.101369863,828
0,2NDFL,beginner,,,0,1,0,0.6012544803,28.61509095,1.724679991,0,0,8.4234972678,829
0,OTHER,advanced,Corporate,23334,0,1,0,0.3132392473,25.195576016,1.8630136986,1,1,4.1287671233,830
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,115283,0,1,,,35.321109364,10.962205255,,,10.633438132,842
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,846
0,OTHER,advanced,,40000,0,0,0,10.473633513,34.537375552,10.323676922,0,0,1.7949097986,851
0,OTHER,elementary,,60000,0,0,0,1,34.40412456,0.6233026424,0,0,9.8726177109,871
0,OTHER,high,Corporate,21952,0,1,1,0.9841621864,27.926229508,0.2076502732,0,0,3.4098360656,874
0,OTHER,elementary,,63500,0,0,5,0.4681899642,27.849562093,3.1618908601,1,1,7.6714799012,893
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,advanced,Corporate,36184,0,1,0,3.7306451613,25.168702747,1.9276068568,0,0,4.4892506924,895
0,OTHER,advanced,Corporate,18458,0,1,0,27.987275986,55.445355191,0.8537914515,0,0,8.8291339172,900
0,OTHER,advanced,Corporate,45759,0,1,,,30.761643836,0.1835616438,,,7.2246575342,910
0,OTHER,advanced,Corporate,13231,0,1,1,1.8603270609,44.819904184,0.5546448087,0,0,2.5020959653,922
0,OTHER,elementary,Corporate,55423,0,1,1,0.4114247312,51.885245902,1.8212740475,0,0,6.8623699379,930
0,OTHER,elementary,Corporate,40551,0,1,0,,28.257100082,0.6434014522,0,0,0.818743918,936
0,OTHER,elementary,Corporate,107807,0,1,2,0.5967741935,41.613780972,5.9699453552,0,1,8.4808743169,945
0,OTHER,elementary,Corporate,109242,0,1,0,12.533198925,43.397260274,16.799086758,1,1,10.567123288,948
0,OTHER,elementary,,102000,0,0,1,1.2791442652,53.249876488,3.7265888165,0,0,8.2076502732,949
