Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
19;1098579;Форма банка (без печати работодателя);Ремонт;0;0.46;мужской;1;0;высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098599;Свободная форма с печатью работодателя;Другое;1;0.21;женский;0;0;высшее;менеджер среднего звена;>250;1;21;28;Торговля;ЗАО;холост / не замужем;1;1;1;0;0;0.0379746835;1;0;0;0;0.2857142857;2;5;76;7;1;1;9;31;1;0;0;0;0;0;0
19;1098619;Форма банка (без печати работодателя);Покупка автомобиля;0;0.28;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;45;29;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.6666666667;2;1;42;3;2;0;7;21;0;0;0;0;0;0;0
19;1098639;2НДФЛ;Покупка автомобиля;1;0.14;мужской;1;0;высшее;менеджер среднего звена;>250;0;6;33;Информационные технологии;ООО;женат / замужем;0;0;0;0;0;0.0471698113;1;0;0;0;0;0;6;101;6;0;5;21;99;1;0;0;0;0;0;0
19;1098659;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;1;0;высшее;торговый представитель;>250;0;6;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098679;2НДФЛ;Другое;1;0.38;женский;0;0;высшее;вспомогательный персонал;>250;1;23;50;Торговля;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0.5;1;1;17;2;1;0;10;14;0;0;0;0;0;0;0
19;1098699;2НДФЛ;Ремонт;0;0.26;мужской;1;0;среднее-специальное;специалист;>250;0;242;39;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098719;Поступление зарплаты на счет;Ремонт;1;0.16;женский;0;0;высшее;менеджер высшего звена;>250;0;46;27;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
19;1098739;Поступление зарплаты на счет;Ремонт;0;0.41;мужской;1;0;среднее-специальное;рабочий;>250;0;65;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098759;Форма банка (без печати работодателя);Ремонт;1;0.15;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1098779;Поступление зарплаты на счет;Ремонт;1;0.24;женский;0;0;среднее;рабочий;>250;0;109;51;Другое;ОАО;холост / не замужем;0;0;0;0;0;0.0384615385;1;0;0;0;0.4;2;3;25;5;1;2;13;23;1;0;0;0;0;0;0
19;1098799;2НДФЛ;Покупка автомобиля;1;0.49;женский;1;0;высшее;специалист;>250;0;11;38;Торговля;ООО;женат / замужем;2;0;0;0;0;0.035971223;0;1;1;0;0.5;4;4;134;8;2;1;2;74;1;0;0;0;0;0;0
19;1098819;2НДФЛ;Ремонт;0;0.54;мужской;1;0;высшее;торговый представитель;>250;1;36;28;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
